time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.0024823087895813e-07,5.191110517251036e-08,10.008442598826832,6.282773065268142,9.089949097518257e-05,0.0,-9.405351754546466e-06,-1.7327461238713657e-05,0.28139271398375026,-0.02643655467531895,0.00438499242126023,0.0,491.3823423546794,491.70720983549495,491.6279694059803,489.6656931834394
0.12000000000000001,-3.805747993708815e-06,-1.6634914997007544e-05,10.03013327234421,6.281385153600937,6.28315200686049,0.0,-0.00012725779674519112,-0.000703032016911828,0.4415806966554874,-0.01722957934899482,-0.01989237648758955,0.0,456.3296056325872,454.3878816139041,455.6777142503396,456.4129572313763
0.18,-7.113981466001728e-06,-0.00010642677460583866,10.06283991622383,6.280251960954843,6.2829622854211,0.0,8.422427743631585e-05,-0.0024172601264508746,0.6485455783061493,-0.022425172607351183,0.018204472626956007,0.0,468.332235298024,471.28564689428856,470.0897209069841,469.6870780595664
0.23999999999999996,-1.8691240593051124e-06,-0.000306732995090988,10.101719661961301,6.279616840508147,0.0010754535823958022,0.0,-1.4100047487547942e-05,-0.004339848206853601,0.6474462972540111,0.006244292351380984,0.027754183469710626,0.0,404.21339386709707,405.07301534071763,402.049916505246,404.6387697098368
0.3,-3.6195925581332175e-05,-0.0006501024734344591,10.146799753313042,6.280442056448948,0.0030719257058366978,0.0,-0.0013480148225724577,-0.007030891292697914,0.8550908506328087,0.02563776724220377,0.04250106632258276,0.0,469.630854440339,470.7734975068615,469.5983892012696,471.1000241687044
0.36000000000000004,-0.00019753899451978215,-0.001127928954630205,10.203176573476123,6.281823700565495,0.005349147160099932,0.0,-0.004302727601630928,-0.008731851151491258,1.0239994980384606,0.01721626969208818,0.02680957061390129,0.0,459.1367051306982,457.8908765585115,459.8260842211197,459.15857263205703
0.4200000000000001,-0.0006042553348967829,-0.0016826189649347537,10.273271848065173,6.282877931644396,0.006598999589539467,0.0,-0.009443685502377912,-0.009621957027809038,1.3122233892093302,0.01826972686068357,0.004859524722539775,0.0,494.7140596466761,493.0953383742889,494.2186442625652,494.296168610376
0.48000000000000015,-0.0012893157669302505,-0.002261824696147698,10.352154581611943,0.0007464920500703798,0.006544062934021433,0.0,-0.013405263662092232,-0.009590338716158187,1.3171952022089979,0.016115347497206698,-0.016142239735490383,0.0,408.3864200694199,406.5090146637224,407.4498538820723,407.2571798038654
0.5400000000000001,-0.0022348535961024293,-0.0028166513832542286,10.43570046002033,0.001798088164110645,0.0056781667187451035,0.0,-0.018011366728390467,-0.00879345175319844,1.4674869816672125,0.020209273145136125,-0.011212931713213794,0.0,454.0436435636358,454.43900892721103,454.1796243146075,454.50774040911523
0.6000000000000002,-0.0034021872164013145,-0.0033127020041979886,10.521700747444795,0.0029914827919581555,0.004673637394666308,0.0,-0.020838125616994774,-0.007648631525580817,1.3992759588784986,0.019243472572235503,-0.03109311877640317,0.0,384.18722552678486,382.2977587960837,380.9532371005718,380.8609244646767
0.6600000000000003,-0.0047394828220978895,-0.003707796994894279,10.607940635350754,0.0039231359243254715,0.0033698856320691917,0.0,-0.02358652897984695,-0.00541753896652197,1.4752920300972445,0.006807248239606416,-0.007601845891523141,0.0,430.8708425200822,432.85199576267536,431.0301821248742,429.97791521714163
0.7200000000000003,-0.006240858309842256,-0.003928099933772466,10.705026117306373,0.00411364385661539,0.0025282730394922126,0.0,-0.026380376318163746,-0.0018871188757717257,1.7604966044668668,-0.005314082236554672,-0.03172615935250328,0.0,495.5858596224776,493.80973227172075,494.2341400934924,493.3399850330873
0.7800000000000004,-0.007867787195990135,-0.003958306290959692,10.81329827481711,0.004365630125262143,0.00037265083242132846,0.0,-0.02764866133756217,0.0008810666835960325,1.8484375416636911,0.018501705860827743,-0.04603204518163202,0.0,436.697264398715,435.5017438801484,435.11662986123554,437.1057115659083
0.8400000000000004,-0.009523985740422378,-0.0038152360181058363,10.926175510981833,0.005906101393168939,6.280749442079177,0.0,-0.027288182830182982,0.004018670356678111,1.9140286802996342,0.03712752748244562,-0.04840824042953093,0.0,429.0516133495807,428.8484409589154,428.7084636178168,430.2882113453273
0.9000000000000005,-0.0110960341943309,-0.0034327542359983997,11.04569309407621,0.008361646571968251,6.278598422295357,0.0,-0.02484399348584184,0.00898808997127097,2.069619765603241,0.04760544567496622,-0.018295804694644265,0.0,455.9252697976996,458.32393717694157,457.85823339711663,458.69184952923894
0.9600000000000005,-0.012497193113174737,-0.002726226652349368,11.171029083533794,0.011133849221241832,6.276930560754071,0.0,-0.021749972560614464,0.01482379214942332,2.1081731585185555,0.04324147715651127,-0.0648752307165201,0.0,423.326836193487,419.29903204415695,421.32359970487755,420.9475349432662
1.0200000000000005,-0.0136552814214942,-0.001592012483474261,11.30091567567675,0.01397196848129223,6.272834878615068,0.0,-0.01644056360285053,0.02326415876602219,2.221160794398234,0.054385649635780374,-0.07607507332516082,0.0,445.33349695335863,444.4129220436129,445.2838767829022,446.1958802590017
1.0800000000000005,-0.014409015215848928,0.00010719256998349386,11.437336029635587,0.017272711745635938,6.268494483015251,0.0,-0.008229884361496066,0.03370997962705516,2.3259665011014485,0.05623681634514499,-0.0657601076494174,0.0,442.07107707975786,442.9160683451624,443.8656522914531,444.0195743672273
